15-02-2026 16:12:03 | CombinedWith | A:1 B:1 Result:1
15-02-2026 16:12:12 | Either | A:1 B:1 Result:1
15-02-2026 16:12:53 | CombinedWith | A:1 B:1 Result:1
15-02-2026 18:12:44 | Either | A:1 B:0.5 Result:1
15-02-2026 18:13:01 | CombinedWith | A:1 B:0.5 Result:0.5
15-02-2026 18:13:46 | CombinedWith | A:1 B:0.5 Result:0.5
15-02-2026 18:53:02 | CombinedWith | A:1 B:0.5 Result:0.5
15-02-2026 18:53:23 | CombinedWith | A:1 B:1 Result:1
15-02-2026 18:55:57 | Either | A:1 B:1 Result:1
15-02-2026 18:56:05 | Either | A:1 B:0.5 Result:1
15-02-2026 18:56:15 | CombinedWith | A:1 B:0.5 Result:0.5
15-02-2026 18:56:24 | CombinedWith | A:1 B:1 Result:1
15-02-2026 18:56:46 | CombinedWith | A:0.5 B:0.5 Result:0.25
15-02-2026 18:56:49 | Either | A:0.5 B:0.5 Result:0.75
15-02-2026 19:03:35 | CombinedWith | A:0.25 B:0 Result:0
15-02-2026 19:03:40 | CombinedWith | A:0.25 B:1 Result:0.25
15-02-2026 19:03:46 | CombinedWith | A:0 B:0 Result:0
15-02-2026 19:03:47 | CombinedWith | A:0 B:0 Result:0
15-02-2026 19:03:51 | CombinedWith | A:1 B:0 Result:0
15-02-2026 19:03:55 | Either | A:1 B:0 Result:1
15-02-2026 19:05:29 | Either | A:1 B:1 Result:1
